ID	NomCommune	NomNormalise	NomCanton	INSEE	NCC
DT73-08151	Saint-Avre	SAINT-AVRE	canton de La Chambre	73224	SAINT-AVRE
DT73-08152	Saint-Baldoph	SAINT-BALDOPH	canton de Chambéry	73225	SAINT-BALDOPH
DT73-08163	Saint-Béron	SAINT-BERON	canton de Pont-de-Beauvoisin	73226	SAINT-BERON
DT73-08173	Saint-Cassin	SAINT-CASSIN	canton de Chambéry	73228	SAINT-CASSIN
DT73-08176	Saint-Christophe	SAINT-CHRISTOPHE	canton des Echelles	73229	SAINT-CHRISTOPHE
DT73-08190	Saint-Colomban-des-Villards	SAINT-COLOMBAN-DES-VILLARDS	canton de La Chambre	73230	SAINT-COLOMBAN-DES-VILLARDS
DT73-08208	Sainte-Hélène-du-Lac	SAINTE-HELENE-DU-LAC	canton de Montmélian	73240	SAINTE-HELENE-DU-LAC
DT73-08220	Sainte-Marie-d’Alvey	SAINTE-MARIE-D’ALVEY	canton de Saint-Genix	73254	SAINTE-MARIE-D’ALVEY
DT73-08221	Sainte-Marie-de-Cuines	SAINTE-MARIE-DE-CUINES	canton de La Chambre	73255	SAINTE-MARIE-DE-CUINES
DT73-08224	Sainte-Reine	SAINTE-REINE	canton du Châtelard	73277	SAINTE-REINE
DT73-08233	Saint-Etienne-de-Cuines	SAINT-ETIENNE-DE-CUINES	canton de La Chambre	73231	SAINT-ETIENNE-DE-CUINES
DT73-08234	Saint-Franc	SAINT-FRANC	canton des Echelles	73233	SAINT-FRANC
DT73-08239	Saint-François-de-Sales	SAINT-FRANCOIS-DE-SALES	canton du Châtelard	73234	SAINT-FRANCOIS-DE-SALES
DT73-08248	Saint-Girod	SAINT-GIROD	canton d’Albens	73239	SAINT-GIROD
DT73-08270	Saint-Jean-d’Arves	SAINT-JEAN-D’ARVES	canton de Saint-Jean-de-Maurienne	73242	SAINT-JEAN-D’ARVES
DT73-08271	Saint-Jean-d’Arvey	SAINT-JEAN-D’ARVEY	canton de Chambéry	73243	SAINT-JEAN-D’ARVEY
DT73-08272	Saint-Jean-de-Belleville	SAINT-JEAN-DE-BELLEVILLE	canton de Moûtiers	73244	SAINT-JEAN-DE-BELLEVILLE
DT73-08273	Saint-Jean-de-Chevelu	SAINT-JEAN-DE-CHEVELU	canton d’Yenne	73245	SAINT-JEAN-DE-CHEVELU
DT73-08274	Saint-Jean-de-Couz	SAINT-JEAN-DE-COUZ	canton des Echelles	73246	SAINT-JEAN-DE-COUZ
DT73-08275	Saint-Jean-de-la-Porte	SAINT-JEAN-DE-LA-PORTE	canton de Saint-Pierre-d’Albigny	73247	SAINT-JEAN-DE-LA-PORTE
DT73-08277	Saint-Jean-de-Maurienne	SAINT-JEAN-DE-MAURIENNE		73248	SAINT-JEAN-DE-MAURIENNE
DT73-08300	Saint-Léger	SAINT-LEGER	canton d’Aiguebelle	73252	SAINT-LEGER
