Article,Vedette,Definition,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT37-01153,"Bataillon (le lieu de),","près du Vau, commune de Marçay, canton de Richelieu.",Vau
DT37-01159,"Batardière (la),","ferme, commune de Marigny.",Marigny
DT37-01165,"Bateaux (le lieu des),","près de la Renardière, commune de Varennes.",Renardière
DT37-01181,"Battée (le lieu de la),","près de la Bourdairie, commune de Betz.",Bourdairie
DT37-01191,"Battereaux (le lieu des),","près du marais de Pallus, commune de Cravant.",Pallus
DT37-01192,"Battoir (le lieu du),","commune de Vou, près du chemin de la Bête.",Bête
DT37-01203,"Baudelan (la) ou Beaudellan,","ferme, commune de Meigné-le-Vicomte (Maine-et-Loire).",Meigné-le-Vicomte
DT37-01205,"Baudelleries (le lieu des),","près de la Sablonnière, commune de Saché.",Sablonnière
DT37-01211,"Baudichonnerie (la),","hameau, commune du Grand-Pressigny,",Grand-Pressigny
DT37-01213,"Baudière (fontaine de la),","commune de Saint-Jean-Saint-Germain, près du hameau de la Baudière.",Baudière
DT37-01216,"Baudiments (les),","paroisse de Coussay, en Poitou.",Coussay
DT37-01218,"Baudinette (le lieu de la),","commune de Vallères, près du chemin du Vau à la Morinière.",Vau
DT37-01222,"Baudinière (la),","ferme, commune du Grand-Pressigny.",Grand-Pressigny
DT37-01230,"Baudraies (le lieu des),","près du Buisson, commune de Saint-Épain.",Buisson
DT37-01232,"Baudreau (le lieu de),","près de la Sablonnière, commune de Saché.",Sablonnière
DT37-01233,"Baudrie (la fosse),","près de Rochepinard, commune de Montlouis.",Rochepinard
DT37-01234,"Baudrus (le lieu des),","près de la Gaudière, commune de Barrou.",Gaudière
DT37-01238,"Bauge (le lieu de la),","près de la Renaudrie, commune de Bossay.",Renaudrie
DT37-01250,"Baugerais (la croix de),","près de Baugerais, commune de Loché.",Baugerais
DT37-01252,"Baugères (le lieu des),","près de la Chaperonnière, commune de Ligré.",Chaperonnière
DT37-01258,"Bauges-Mortes (le lieu des),","commune de Langeais, près de la route de Nantes à Tours.",Nantes
DT37-01264,"Baulés (le lieu des),","près de la Geneté, commune de Thilouze.",Geneté
DT37-01270,"Baume (le lieu de la),","près de Signy, commune de Chinon.",Signy
DT37-01271,"Baume (le lieu de la),","près de la Grange, commune de Crissé.",Grange
DT37-01274,"Baunes (le lieu des),","près de la Petite-Chaumeraye, commune de Louans.",Petite-Chaumeraye
DT37-01277,"Baury, ou Bauri,","ferme, commune des Hermites, Gâtinesprès de la forêt de .",Gâtines
DT37-01281,"Baylau (le lieu de),","près de la Vallée, commune de Sonzay.",Vallée
DT37-01289,"Beau-Basse (le lieu de),","près de la Morinaie, commune de Saint-Épain.",Morinaie
DT37-01298,"Beauce (le lieu de la),","près de la Saintrie, commune de Savonnières.",Saintrie
DT37-01300,"Beaucée (bois de),","près de la Baie, commune de Saint-Senoch.",Baie
DT37-01305,"Beauces (le lieu des),","près de Remettière, commune de Notre-Dame-d’Oë.",Remettière
DT37-01305,"Beauces (le lieu des),","près de Remettière, commune de Notre-Dame-d’Oë.",Notre-Dame-d’Oë
DT37-01317,"Beauchêne (la fontaine de),","près du Coudray, commune de Luzillé.",Coudray
DT37-01318,"Beauchêne (le lieu de),","près de la Gaudrière, commune de Mazières.",Gaudrière
DT37-01320,"Beauchêne (la fontaine de),","près de la Touche, commune d’Orbigny.",Touche
DT37-01324,"Beauchêne (la chapelle de Notre-Dame de),","commune de Saint-Branchs, près du chemin de la Richardière à Cormery.",Richardière
DT37-01328,"Beauchêne,","ferme, commune de Villeloin.",Villeloin
DT37-01329,"Beauchet (le lieu de),","près de Ris, commune de Chaumussay.",Ris
DT37-01333,"Beaudellerie (la),","ferme, commune de Marcé-sur-Esves.",Marcé-sur-Esves
DT37-01338,"Beaudits (le lieu des),","près de la Fetière, commune de Maillé.",Fetière
